Date,Price
12/23/2023,31990
12/24/2023,31990
12/25/2023,31990
12/26/2023,31990
12/27/2023,31990
12/28/2023,31990
12/29/2023,31990
12/30/2023,31990
12/31/2023,31990
1/1/2024,31990
1/2/2024,31990
1/3/2024,30990
1/4/2024,30990
1/5/2024,30990
1/6/2024,30990
1/7/2024,30990
1/8/2024,30990
1/9/2024,30990
1/10/2024,30990
1/11/2024,30990
1/12/2024,29990
1/13/2024,29990
1/14/2024,29990
1/15/2024,29990
1/16/2024,29990
1/17/2024,29990
1/18/2024,29990
1/19/2024,29990
1/20/2024,30990
1/21/2024,30990
1/22/2024,30990
1/23/2024,30990
1/24/2024,28999
1/25/2024,28999
1/26/2024,28912
1/27/2024,28961
